Date,Time,Petite Frite,Moyenne Frite,Grande Frite,Burger,valeur petite frite,valeur moyenne frite,valeur grande frite,valeur burger,valeur commande
14/02/2020,20:00,0,0,0,1,0,0,0,6,6
14/02/2020,20:30,0,5,0,5,0,15,0,30,45
14/02/2020,20:45,0,0,3,7,0,0,12,42,54
14/02/2020,21:00,0,0,3,3,0,0,12,18,30
14/02/2020,21:10,0,1,0,1,0,3,0,6,9
14/02/2020,,0,4,1,4,0,12,4,24,40
14/02/2020,,0,0,1,0,0,0,4,0,4
21/02/2020,19:20,6,0,0,6,12,0,0,36,48
21/02/2020,19:30,1,3,1,4,2,9,4,24,39
21/02/2020,20:00,0,3,0,3,0,9,0,18,27
21/02/2020,20:35,0,0,1,3,0,0,4,18,22
21/02/2020,20:35,0,2,0,2,0,6,0,12,18
21/02/2020,21:00,0,0,1,2,0,0,4,12,16
21/02/2020,21:15,0,0,1,3,0,0,4,18,22
21/02/2020,21:25,0,0,1,1,0,0,4,6,10
21/02/2020,,0,0,1,0,0,0,4,0,4
21/02/2020,,0,0,1,0,0,0,4,0,4
21/02/2020,,0,1,0,0,0,3,0,0,3
28/02/2020,19:25,1,1,0,2,2,3,0,12,17
28/02/2020,20:30,0,0,2,5,0,0,8,30,38
28/02/2020,,0,0,0,3,0,0,0,18,18
28/02/2020,,0,0,0,1,0,0,0,6,6
28/02/2020,,1,1,0,0,2,3,0,0,5
28/02/2020,,0,0,0,1,0,0,0,6,6
28/02/2020,,1,1,0,2,2,3,0,12,17
06/03/2020,19:20,0,0,1,1,0,0,4,6,10
06/03/2020,19:20,0,1,0,1,0,3,0,6,9
06/03/2020,20:25,0,0,2,4,0,0,8,24,32
06/03/2020,20:40,1,0,1,6,2,0,4,36,42
06/03/2020,,0,2,0,0,0,6,0,0,6
06/03/2020,,1,0,0,1,2,0,0,6,8
06/03/2020,,0,1,0,2,0,3,0,12,15
06/03/2020,,0,0,0,1,0,0,0,6,6
13/03/2020,20:00,0,1,0,2,0,3,0,12,15
13/03/2020,20:00,0,1,0,2,0,3,0,12,15
13/03/2020,20:15,0,2,0,3,0,6,0,18,24
13/03/2020,21:40,0,1,0,2,0,3,0,12,15
13/03/2020,,0,2,0,2,0,6,0,12,18
13/03/2020,,1,0,0,0,2,0,0,0,2
15/05/2020,18:45,0,5,0,3,0,15,0,18,33
15/05/2020,19:00,0,0,2,0,0,0,8,0,8
15/05/2020,19:30,0,2,0,6,0,6,0,36,42
15/05/2020,20:00,0,0,5,5,0,0,20,30,50
15/05/2020,20:15,0,3,0,2,0,9,0,12,21
15/05/2020,20:20,0,2,0,0,0,6,0,0,6
15/05/2020,,1,0,1,2,2,0,4,12,18
15/05/2020,,0,0,2,1,0,0,8,6,14
15/05/2020,,0,1,0,1,0,3,0,6,9
22/05/2020,18:45,0,0,1,3,0,0,4,18,22
22/05/2020,18:50,3,1,0,0,6,3,0,0,9
22/05/2020,19:20,1,1,0,1,2,3,0,6,11
22/05/2020,20:00,0,2,0,3,0,6,0,18,24
22/05/2020,20:15,0,0,2,4,0,0,8,24,32
22/05/2020,20:30,0,3,0,3,0,9,0,18,27
22/05/2020,20:45,0,2,0,3,0,6,0,18,24
22/05/2020,20:45,0,0,4,0,0,0,16,0,16
22/05/2020,21:00,0,2,3,5,0,6,12,30,48
22/05/2020,21:05,0,0,1,2,0,0,4,12,16
29/05/2020,19:20,1,0,3,4,2,0,12,24,38
29/05/2020,19:50,1,0,1,2,2,0,4,12,18
29/05/2020,20:30,0,0,2,0,0,0,8,0,8
29/05/2020,,0,0,1,1,0,0,4,6,10
05/06/2020,19:15,0,2,0,5,0,6,0,30,36
05/06/2020,20:30,4,0,0,4,8,0,0,24,32
05/06/2020,21:30,1,0,0,1,2,0,0,6,8
05/06/2020,,0,1,0,11,0,3,0,66,69
05/06/2020,,0,0,2,0,0,0,8,0,8
12/06/2020,19:30,0,0,3,0,0,0,12,0,12
12/06/2020,20:00,0,0,1,2,0,0,4,12,16
