Date,Day,Time,Hour_missing,Hour,Petite Frite,Moyenne Frite,Grande Frite,Burger,valeur commande
11/06/2020,Thursday,,1.00,12.00,0,0,1,1,10
18/06/2020,Thursday,11:00,0.00,11.00,0,2,0,0,6
18/06/2020,Thursday,11:45,0.00,11.00,0,1,0,2,15
18/06/2020,Thursday,12:00,0.00,12.00,1,0,0,1,8
18/06/2020,Thursday,12:00,0.00,12.00,0,0,2,2,20
18/06/2020,Thursday,12:15,0.00,12.00,3,0,0,4,30
18/06/2020,Thursday,12:30,0.00,12.00,1,0,0,2,14
18/06/2020,Thursday,12:30,0.00,12.00,1,0,0,1,8
18/06/2020,Thursday,12:45,0.00,12.00,1,0,0,1,8
18/06/2020,Thursday,,1.00,12.00,0,2,0,3,24
18/06/2020,Thursday,,1.00,12.00,0,0,1,0,4
18/06/2020,Thursday,,1.00,12.00,1,0,0,0,2
18/06/2020,Thursday,,1.00,12.00,3,0,0,0,6
18/06/2020,Thursday,,1.00,12.00,0,1,0,0,3
29/11/2019,Friday,18:55,0.00,18.00,0,0,3,2,24
29/11/2019,Friday,19:15,0.00,19.00,0,1,0,2,15
29/11/2019,Friday,,1.00,19.00,0,1,1,3,25
29/11/2019,Friday,,1.00,19.00,0,0,3,3,30
29/11/2019,Friday,,1.00,19.00,0,0,3,5,42
29/11/2019,Friday,,1.00,19.00,0,1,0,0,3
29/11/2019,Friday,,1.00,19.00,0,0,2,3,26
06/12/2019,Friday,,1.00,19.00,0,2,1,2,22
06/12/2019,Friday,,1.00,19.00,0,0,2,2,20
06/12/2019,Friday,,1.00,19.00,1,0,2,3,28
06/12/2019,Friday,,1.00,19.00,1,1,0,2,17
06/12/2019,Friday,,1.00,19.00,1,0,1,3,24
06/12/2019,Friday,,1.00,19.00,0,0,2,5,38
06/12/2019,Friday,,1.00,19.00,0,0,1,1,10
06/12/2019,Friday,,1.00,19.00,0,2,0,2,18
13/12/2019,Friday,,1.00,19.00,0,2,0,5,36
13/12/2019,Friday,,1.00,19.00,0,0,1,0,4
13/12/2019,Friday,,1.00,19.00,1,2,0,5,38
13/12/2019,Friday,,1.00,19.00,0,1,2,0,11
27/12/2019,Friday,,1.00,19.00,0,1,0,1,9
27/12/2019,Friday,,1.00,19.00,0,0,1,1,10
27/12/2019,Friday,,1.00,19.00,0,0,1,0,4
27/12/2019,Friday,,1.00,19.00,0,1,1,3,25
27/12/2019,Friday,,1.00,19.00,0,1,0,0,3
27/12/2019,Friday,,1.00,19.00,0,0,0,10,60
03/01/2020,Friday,,1.00,19.00,0,0,2,0,8
03/01/2020,Friday,,1.00,19.00,7,0,4,7,72
03/01/2020,Friday,,1.00,19.00,0,1,1,2,19
03/01/2020,Friday,,1.00,19.00,0,6,0,6,54
03/01/2020,Friday,,1.00,19.00,0,1,0,0,3
03/01/2020,Friday,,1.00,19.00,0,0,0,2,12
10/01/2020,Friday,,1.00,19.00,1,1,0,2,17
10/01/2020,Friday,,1.00,19.00,0,1,0,4,27
10/01/2020,Friday,,1.00,19.00,0,2,2,0,14
17/01/2020,Friday,19:20,0.00,19.00,0,2,1,2,22
17/01/2020,Friday,19:30,0.00,19.00,5,0,0,5,40
17/01/2020,Friday,20:00,0.00,20.00,0,0,1,2,16
17/01/2020,Friday,20:30,0.00,20.00,1,0,0,5,32
17/01/2020,Friday,20:40,0.00,20.00,1,0,0,1,8
17/01/2020,Friday,,1.00,20.00,1,0,1,2,18
17/01/2020,Friday,,1.00,20.00,0,1,0,0,3
17/01/2020,Friday,,1.00,20.00,0,1,0,2,15
24/01/2020,Friday,,1.00,20.00,0,0,1,1,10
24/01/2020,Friday,,1.00,20.00,0,1,0,1,9
31/01/2020,Friday,20:00,0.00,20.00,0,5,0,5,45
31/01/2020,Friday,20:15,0.00,20.00,0,0,2,0,8
31/01/2020,Friday,20:20,0.00,20.00,0,0,1,2,16
31/01/2020,Friday,,1.00,20.00,0,0,2,0,8
31/01/2020,Friday,,1.00,20.00,0,2,0,2,18
31/01/2020,Friday,,1.00,20.00,0,0,1,0,4
07/02/2020,Friday,19:25,0.00,19.00,0,0,1,2,16
07/02/2020,Friday,20:00,0.00,20.00,0,0,5,5,50
07/02/2020,Friday,20:20,0.00,20.00,0,1,0,2,15
07/02/2020,Friday,20:35,0.00,20.00,0,1,0,2,15
07/02/2020,Friday,,1.00,20.00,0,0,1,1,10
07/02/2020,Friday,,1.00,20.00,0,1,1,2,19
